# particles in event 0 satifying pt > 0.5GeV and |eta| < 2.5 "JetInputs"
# energy PT rapidity phi
6.147916986489777358e+00 1.515344280973998980e+00 -2.073712656804872267e+00 1.789949610314450545e+00
7.255486666027435305e+00 1.514281666927659531e+00 -2.244566550264539995e+00 1.996046332398092871e-01
1.360188898938642588e+00 8.131267167113604977e-01 -4.336947230751833082e-01 -2.523313179702321385e+00
9.824759724394129812e-01 6.444391052631980310e-01 -9.534255500528818761e-01 5.401439897191709916e-01
6.185466371492073234e-01 5.963153252121843328e-01 -1.412036362624685681e-01 -3.025542913123858479e+00
3.257740848502115316e+00 7.771979188672375471e-01 -2.095348941938353082e+00 8.817651580946043177e-01
2.239879972522578200e+00 6.123372550149797089e-01 -1.944456844390332062e+00 -1.939799328267318046e+00
1.125917681884335941e+00 5.810968041386865846e-01 -1.247229587834068454e+00 1.277541241588999288e+00
1.270972887862135137e+00 6.603095323953080964e-01 -1.246735826645369860e+00 -7.643218079669189535e-01
8.662857227548603767e-01 7.091085977068227741e-01 -5.631627400299688089e-04 -1.948817495211883966e+00
8.691658011807525952e-01 7.973554125959139149e-01 3.816981885074853809e-01 -1.604897667964108487e+00
1.015931432968645298e+00 1.005679186385107782e+00 3.476288490290443955e-02 -2.057874476278613862e+00
6.397477833135860159e+00 4.207010877204911736e+00 9.799570125144420052e-01 2.380700534694360826e+00
1.612547183597678213e+01 1.127132489514698754e+01 8.975284912788280556e-01 2.293736534347738942e+00
2.715038937747119352e+00 5.538891812462282127e-01 -2.240710105711863687e+00 -8.647746173283491489e-01
1.373502860859294294e+00 1.361752678883087153e+00 -8.210337583009806595e-02 -2.418669578483306992e+00
3.171067541041483473e+00 1.844978135468225977e+00 1.136760493752485335e+00 2.310872372761904714e+00
2.754141984457884718e+00 5.103613307889665052e-01 -2.370192089928304657e+00 9.980490369838515008e-01
7.566665986003245914e-01 6.836746314582657913e-01 -4.580758056128296229e-01 -2.016019129192914594e+00
1.050747244448668072e+00 9.643332773221041654e-01 -4.202447503547357965e-01 -1.744631928980328262e+00
1.195317969489578758e+01 3.463537396054757522e+00 -1.899658408907398233e+00 -1.236918412822274549e+00
2.167300477335005304e+00 1.047817966566257697e+00 -1.345515508226468926e+00 3.444800648467472581e-01
8.519099900106640311e-01 5.124853745258267645e-01 -1.050080308771795368e+00 1.061939889719477392e+00
1.276675719967497358e+01 1.271873196961880836e+01 -8.617673298343701827e-02 -2.465226549841062376e+00
4.603393510088101159e+00 1.790794271737232934e+00 -1.557211041357219328e+00 -1.444088224418099697e+00
4.087629515512099410e+00 1.308661036790705001e+00 -1.805438577159531155e+00 7.725797560828170374e-01
1.701466264088794089e+00 5.470541351433095834e-01 -1.800937830696585529e+00 2.587820257963193149e-01
3.646233178478268666e+00 3.218314672521972675e+00 -5.081297256175145716e-01 -2.561416739569335910e+00
7.082028124426456017e-01 6.607841863081518330e-01 -3.105994028227444526e-01 -2.149192685784553802e+00
4.799648276172333539e+01 1.540990910520050150e+01 -1.801894767210088233e+00 8.239122161526124533e-01
1.573805531284802761e+01 4.963380429188021914e+00 -1.820877815251510601e+00 7.996410924451095026e-01
4.190755519979473931e+00 7.830564103316955959e-01 -2.361733668225060701e+00 -3.010148224199593048e-01
1.128754192662922984e+00 1.119849336437008125e+00 2.066067799800545141e-02 -2.478831667720649889e+00
8.402698075933784372e-01 8.114146234624962650e-01 -2.025027998591024947e-01 -2.554750575247242583e+00
1.570994800676421388e+00 1.536828287143693128e+00 -1.896744749974673683e-01 -2.393158262156859895e+00
5.739061142263403026e-01 5.045661368075652353e-01 -5.184358015969109390e-01 -2.291263671294392790e+00
1.422784460694505704e+00 6.255409325602939719e-01 -1.462641692288931372e+00 -8.506364133781871839e-01
1.064910008299722577e+01 3.468675927963465355e+00 -1.786347714939428899e+00 -6.889497352550997267e-01
1.311548844117289114e+01 4.608996798060654321e+00 -1.706520889963406562e+00 7.737630541273192719e-01
3.832446411754383941e+00 1.310023130216138032e+00 -1.736024817984794355e+00 8.201029116679167119e-01
2.848102324644965933e+00 8.903104961738533829e-01 -1.817820542337150513e+00 -4.349668034828561014e-01
3.279944329983005780e+00 3.096723233605939374e+00 -1.643844222896541363e-01 -2.356318022693844494e+00
3.991455416430611525e+00 1.464362347025396360e+00 -1.655533971023172457e+00 -1.170898693752675301e+00
3.197910059733048982e+00 7.880634955332116443e-01 -2.062339771198788974e+00 -6.709255379430169031e-01
1.807476273092308849e+00 5.100385418762412026e-01 -1.937818770164404958e+00 -9.131277470994569878e-01
2.906810238760371146e+00 9.615000327529182877e-01 -1.770915366443849059e+00 -1.009242308708831803e+00
